Episode,Reward,Loss,Entropy
860,1,5.3642,1.1198
861,1,13.4273,1.6003
862,46,4.5681,1.2364
863,11,4.7750,1.3440
864,46,6.1956,1.0987
865,36,1.8588,1.1482
866,-9,40.7495,1.4580
867,21,9.6227,1.2113
868,11,-0.1844,1.3890
869,11,0.4143,1.3420
870,36,7.2934,1.2057
871,21,2.2746,1.3072
872,71,3.0858,1.0808
873,11,12.6023,1.3569
874,1,9.6564,1.0510
875,11,3.8561,1.4286
876,26,3.5917,1.2641
877,21,1.3249,1.0100
878,36,1.3990,1.1641
879,1,9.7288,1.1454
880,21,0.8398,1.4585
881,81,5.8632,1.1455
882,46,2.1681,1.1734
883,21,1.1252,1.3792
884,11,4.1594,1.2533
885,36,14.7750,1.3196
886,21,2.2630,1.2467
887,11,7.3684,1.0854
888,1,9.1927,1.4485
889,11,3.5146,1.3399
890,46,5.9240,1.3201
891,46,4.4999,1.1863
892,1,35.9264,1.4771
893,46,7.1730,0.9511
894,11,5.7095,1.2692
895,36,3.4560,1.2465
896,26,4.9896,1.2074
897,21,3.1868,1.5148
898,36,13.0405,1.3151
899,1,19.7035,1.3768
900,26,6.0713,1.0856
901,11,5.4543,1.0932
902,11,1.6916,1.0755
903,1,4.4914,1.4519
904,1,5.5393,1.0602
905,36,1.3202,1.2206
906,21,3.0970,1.0936
907,36,1.3863,1.2037
908,1,14.3267,1.1931
909,37,12.2492,1.0379
910,36,1.9971,1.1093
911,36,6.8729,1.1566
912,-9,34.9620,1.0458
913,36,5.7960,1.1502
914,26,7.4864,1.1210
915,11,6.0947,1.1793
916,26,11.4240,1.1972
917,71,5.3386,1.0613
918,21,1.5582,1.1693
919,26,5.5577,1.0868
920,1,16.1006,1.1373
921,26,4.5184,1.0878
922,36,4.7968,1.2878
923,46,2.9215,1.0957
924,21,4.1007,1.5695
925,46,4.5034,1.0603
926,36,7.1462,1.3032
927,21,1.2939,1.4501
928,36,12.4091,1.2825
929,1,18.6858,1.0996
930,46,5.0580,0.9174
931,21,6.5948,1.0227
932,11,12.5643,1.3901
933,11,3.9271,1.1401
934,21,6.5325,1.0217
935,-9,38.3362,1.6697
936,21,1.8371,1.0966
937,26,1.5533,1.1243
938,1,15.1422,1.2154
939,71,11.2730,1.1378
940,56,6.9746,1.1151
941,26,5.1543,1.1831
942,1,13.5725,1.4171
943,36,10.7340,1.0928
944,1,17.4226,1.4050
945,11,2.4891,1.4282
946,21,7.7271,1.4142
947,36,5.0269,1.3176
948,36,12.9903,1.3285
949,11,9.1719,1.1011
950,26,5.5893,1.1835
951,26,5.2463,1.2012
952,36,2.9422,1.1964
953,36,6.5701,1.2427
954,11,3.5843,1.5521
955,1,6.5945,1.2202
956,21,2.5713,1.0841
957,46,2.1810,1.1490
958,36,1.9285,1.0700
959,11,6.9498,1.5012
960,26,7.3934,1.1255
961,1,11.9732,1.3087
962,32,0.6611,1.1334
963,1,7.0971,1.3600
964,11,1.6224,1.2962
965,21,-0.3233,1.3189
966,11,1.2816,1.2528
967,26,4.4963,1.0742
968,21,2.8507,1.1267
969,11,7.5973,1.1655
970,11,5.1127,1.1304
971,35,3.4906,1.1652
972,1,10.2089,1.4336
973,11,4.7585,1.3730
974,36,2.2822,1.4070
