Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
542,0.582,411,0,13440,Timeout,True
543,0.581,521,3,13440,Timeout,False
544,0.581,671,4,13440,Timeout,True
545,0.580,111,0,13440,Timeout,False
546,0.580,371,2,13440,Timeout,True
547,0.579,561,3,13440,Timeout,True
548,0.579,111,0,13440,Timeout,True
549,0.578,111,0,13440,Timeout,True
550,0.577,71,0,13440,Timeout,True
551,0.577,181,0,13440,Timeout,False
552,0.576,31,0,13440,Timeout,True
553,0.576,1364,5,8688,Target_Reached,False
554,0.575,221,1,13440,Timeout,True
555,0.574,481,3,13440,Timeout,True
556,0.574,181,0,13440,Timeout,True
557,0.573,111,0,13440,Timeout,True
558,0.573,221,1,13440,Timeout,False
559,0.572,561,0,13440,Timeout,True
560,0.572,631,4,13440,Timeout,False
561,0.571,331,0,13440,Timeout,False
562,0.570,31,0,13440,Timeout,False
563,0.570,181,0,13440,Timeout,False
564,0.569,411,2,13440,Timeout,True
565,0.569,-8,0,13440,Timeout,False
566,0.568,411,0,13440,Timeout,True
567,0.568,331,2,13440,Timeout,True
568,0.567,711,3,13440,Timeout,False
569,0.566,1282,5,11456,Target_Reached,False
570,0.566,31,0,13440,Timeout,False
571,0.565,331,2,13440,Timeout,False
572,0.565,331,2,13440,Timeout,False
573,0.564,481,2,13440,Timeout,False
574,0.564,261,0,13440,Timeout,False
575,0.563,261,0,13440,Timeout,False
576,0.563,631,0,13440,Timeout,False
577,0.562,1322,5,12128,Target_Reached,True
578,0.561,521,0,13440,Timeout,False
579,0.561,181,0,13440,Timeout,False
580,0.560,1281,5,12912,Target_Reached,True
581,0.560,481,0,13440,Timeout,True
582,0.559,331,0,13440,Timeout,True
583,0.559,411,2,13440,Timeout,True
584,0.558,1282,5,11904,Target_Reached,True
585,0.558,261,0,13440,Timeout,True
586,0.557,71,0,13440,Timeout,False
587,0.556,371,0,13440,Timeout,False
588,0.556,411,2,13440,Timeout,True
589,0.555,1284,5,8736,Target_Reached,True
590,0.555,331,0,13440,Timeout,False
591,0.554,331,2,13440,Timeout,True
592,0.554,111,0,13440,Timeout,True
593,0.553,711,0,13440,Timeout,True
594,0.553,-8,0,13440,Timeout,False
595,0.552,371,2,13440,Timeout,True
596,0.551,631,4,13440,Timeout,True
597,0.551,221,0,13440,Timeout,True
598,0.550,111,0,13440,Timeout,True
599,0.550,481,3,13440,Timeout,True
600,0.549,331,2,13440,Timeout,True
601,0.549,261,1,13440,Timeout,True
602,0.548,331,0,13440,Timeout,True
603,0.548,481,0,13440,Timeout,False
604,0.547,411,2,13440,Timeout,True
605,0.546,181,1,13440,Timeout,False
606,0.546,561,3,13440,Timeout,False
607,0.545,481,3,13440,Timeout,True
608,0.545,181,1,13440,Timeout,True
609,0.544,261,1,13440,Timeout,True
610,0.544,261,1,13440,Timeout,True
611,0.543,31,0,13440,Timeout,True
612,0.543,631,0,13440,Timeout,False
613,0.542,481,3,13440,Timeout,False
614,0.542,261,1,13440,Timeout,False
615,0.541,561,3,13440,Timeout,True
616,0.540,181,0,13440,Timeout,True
617,0.540,71,0,13440,Timeout,False
618,0.539,111,0,13440,Timeout,False
619,0.539,181,0,13440,Timeout,True
620,0.538,31,0,13440,Timeout,True
621,0.538,31,0,13440,Timeout,True
622,0.537,31,0,13440,Timeout,True
623,0.537,111,0,13440,Timeout,False
624,0.536,151,0,13440,Timeout,True
625,0.536,371,0,13440,Timeout,False
626,0.535,411,2,13440,Timeout,False
627,0.535,31,0,13440,Timeout,False
628,0.534,371,0,13440,Timeout,False
629,0.533,481,0,13440,Timeout,True
630,0.533,481,3,13440,Timeout,True
631,0.532,-8,0,13440,Timeout,False
632,0.532,71,0,13440,Timeout,True
633,0.531,31,0,13440,Timeout,True
634,0.531,631,1,13440,Timeout,False
635,0.530,181,0,13440,Timeout,False
636,0.530,261,0,13440,Timeout,True
637,0.529,1282,5,12448,Target_Reached,False
638,0.529,711,2,13440,Timeout,True
639,0.528,151,0,13440,Timeout,True
640,0.528,181,1,13440,Timeout,True
641,0.527,181,0,13440,Timeout,True
