Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy,LR
494,14:54:54,60.89,-0.000000,12.727063,12.677445,0.9924,9.85e-05
495,14:55:00,70.34,-0.000000,9.396285,9.347596,0.9738,9.85e-05
496,14:55:05,123.13,0.000000,25.402435,25.352987,0.9889,9.85e-05
497,14:55:11,114.03,-0.000000,20.277533,20.227663,0.9974,9.85e-05
498,14:55:16,104.0,-0.000000,19.595163,19.545378,0.9957,9.85e-05
499,14:55:21,82.98,-0.000000,16.529947,16.481001,0.9789,9.85e-05
500,14:55:28,94.38,-0.000000,18.319777,18.270664,0.9822,9.85e-05
501,14:55:38,114.4,0.000000,18.347336,18.298565,0.9754,9.85e-05
502,14:55:43,79.86,-0.000000,15.323208,15.274097,0.9822,9.85e-05
503,14:55:49,111.31,0.000000,17.170782,17.120911,0.9974,9.85e-05
504,14:55:54,94.04,0.000000,18.374601,18.324728,0.9975,9.85e-05
505,14:56:00,60.8,0.000000,10.560184,10.510818,0.9873,9.85e-05
506,14:56:17,140.22,0.000000,33.433102,33.383747,0.9871,9.85e-05
507,14:56:22,86.47,0.000000,18.067980,18.018621,0.9872,9.85e-05
508,14:56:28,94.34,0.000000,23.109396,23.059864,0.9907,9.85e-05
509,14:56:33,83.49,0.000000,12.035727,11.986279,0.9889,9.85e-05
510,14:56:39,72.42,-0.000000,12.619579,12.569962,0.9924,9.85e-05
511,14:56:48,102.04,0.000000,20.485767,20.435980,0.9958,9.85e-05
512,14:56:54,106.55,0.000000,15.752362,15.702911,0.9890,9.85e-05
513,14:56:59,115.09,-0.000000,27.551413,27.501369,1.0009,9.85e-05
514,14:57:04,84.98,-0.000000,15.241161,15.191289,0.9974,9.85e-05
515,14:57:10,102.94,-0.000000,21.776161,21.726463,0.9940,9.85e-05
516,14:57:16,104.37,0.000000,17.441740,17.392126,0.9923,9.85e-05
517,14:57:21,97.54,0.000000,15.865896,15.816536,0.9872,9.84e-05
518,14:57:27,113.5,-0.000000,25.973145,25.923864,0.9856,9.84e-05
519,14:57:32,101.97,0.000000,16.978189,16.928740,0.9890,9.84e-05
520,14:57:38,108.59,0.000000,20.297007,20.247307,0.9940,9.84e-05
521,14:57:53,104.42,0.000000,26.330290,26.280670,0.9924,9.84e-05
522,14:57:58,106.94,0.000000,18.438091,18.388308,0.9957,9.84e-05
523,14:58:05,125.57,0.000000,25.289965,25.240347,0.9924,9.84e-05
524,14:58:12,123.61,-0.000000,25.601353,25.551733,0.9924,9.84e-05
525,14:58:18,115.01,-0.000000,21.430347,21.380140,1.0041,9.84e-05
526,14:58:24,81.88,-0.000000,14.139811,14.090784,0.9805,9.84e-05
527,14:58:29,94.26,-0.000000,13.711782,13.661576,1.0041,9.84e-05
528,14:58:34,92.83,0.000000,20.146833,20.097893,0.9788,9.84e-05
529,14:58:40,106.0,0.000000,14.623194,14.573153,1.0008,9.84e-05
530,14:58:45,127.06,-0.000000,27.896206,27.847012,0.9839,9.84e-05
531,14:58:52,94.52,0.000000,15.619204,15.568913,1.0058,9.84e-05
532,14:58:57,102.45,-0.000000,16.661381,16.611513,0.9973,9.84e-05
533,14:59:03,113.62,0.000000,18.732800,18.683435,0.9873,9.84e-05
534,14:59:08,102.47,0.000000,20.535547,20.485931,0.9923,9.84e-05
535,14:59:14,103.42,0.000000,20.168173,20.118305,0.9974,9.84e-05
536,14:59:19,107.1,0.000000,19.388124,19.338337,0.9957,9.84e-05
537,14:59:25,94.93,0.000000,18.186964,18.137012,0.9990,9.84e-05
