Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy
1975,2026-03-29 09:42:15,65.52,-6.357829107628277e-08,13.110894203186035,6.5068464279174805,9.720125198364258
1976,2026-03-29 09:42:21,63.54,-1.1126201115985168e-07,15.500903129577637,7.701606750488281,9.768953323364258
1977,2026-03-29 09:42:30,63.05,-2.2252402231970336e-07,12.599588394165039,6.250916957855225,9.775457382202148
1978,2026-03-29 09:42:39,66.79,-1.9073488033427566e-07,12.336213111877441,6.1190361976623535,9.814112663269043
1979,2026-03-29 09:42:48,72.57,-1.1126201115985168e-07,13.139359474182129,6.520593643188477,9.81726360321045
1980,2026-03-29 09:42:55,68.71,-0.0,12.275081634521484,6.088217735290527,9.86460018157959
1981,2026-03-29 09:43:06,70.25,-1.5894572769070692e-08,13.544197082519531,6.7226481437683105,9.890058517456055
1982,2026-03-29 09:43:14,70.79,6.357829107628277e-08,14.457624435424805,7.179233551025391,9.915767669677734
1983,2026-03-29 09:43:22,71.86,-1.2715658215256553e-07,13.7183837890625,6.8095197677612305,9.934427261352539
1984,2026-03-29 09:43:30,62.93,2.384185791015625e-07,12.981868743896484,6.441197395324707,9.94743824005127
1985,2026-03-29 09:43:38,67.8,-1.1126201115985168e-07,15.537850379943848,7.719239234924316,9.937192916870117
1986,2026-03-29 09:43:46,71.5,-1.2715658215256553e-07,15.444158554077148,7.672268867492676,9.962068557739258
1987,2026-03-29 09:43:53,72.56,3.1789145538141383e-08,14.190496444702148,7.045437335968018,9.962211608886719
1988,2026-03-29 09:44:01,66.73,-2.2252402231970336e-07,15.885830879211426,7.893159866333008,9.951136589050293
1989,2026-03-29 09:44:08,62.34,1.5894572769070692e-08,14.783551216125488,7.341981410980225,9.958830833435059
1990,2026-03-29 09:44:15,65.22,-9.536744016713783e-08,15.303654670715332,7.602048873901367,9.955683708190918
1991,2026-03-29 09:44:27,68.68,-3.1789145538141383e-08,15.486210823059082,7.693276405334473,9.965791702270508
1992,2026-03-29 09:44:34,67.03,-1.5894572769070692e-08,15.99599838256836,7.948184967041016,9.96288776397705
1993,2026-03-29 09:44:42,70.0,-3.1789145538141383e-08,16.288373947143555,8.094335556030273,9.970247268676758
1994,2026-03-29 09:44:52,70.48,1.1126201115985168e-07,16.833436965942383,8.366836547851562,9.976398468017578
1995,2026-03-29 09:44:59,68.82,-1.5894572413799324e-07,15.507438659667969,7.703826904296875,9.978459358215332
1996,2026-03-29 09:45:06,64.88,-6.357829107628277e-08,14.575776100158691,7.237966060638428,9.984424591064453
1997,2026-03-29 09:45:13,74.24,-7.947286206899662e-08,15.110766410827637,7.505486011505127,9.979449272155762
1998,2026-03-29 09:45:21,69.46,-2.2252402231970336e-07,12.248022079467773,6.073999881744385,10.00218677520752
1999,2026-03-29 09:45:28,71.21,-1.2715658215256553e-07,14.450926780700684,7.175516605377197,9.989310264587402
2000,2026-03-29 09:45:36,64.38,-6.357829107628277e-08,12.642008781433105,6.270999431610107,10.001015663146973
2001,2026-03-29 09:45:48,65.56,-3.1789145538141383e-08,13.414030075073242,6.65711784362793,9.979424476623535
2002,2026-03-29 09:45:56,68.66,-1.1126201115985168e-07,13.04356575012207,6.472063064575195,9.943974494934082
2003,2026-03-29 09:46:05,66.96,-1.748402951307071e-07,13.291170120239258,6.596030235290527,9.910950660705566
2004,2026-03-29 09:46:13,63.05,-0.0,11.880705833435059,5.8909592628479,9.878730773925781
2005,2026-03-29 09:46:21,65.72,-0.0,15.245929718017578,7.5738420486450195,9.824557304382324
2006,2026-03-29 09:46:29,64.67,-1.1126201115985168e-07,12.138239860534668,6.020024299621582,9.819082260131836
2007,2026-03-29 09:46:36,64.26,3.1789145538141383e-08,13.795051574707031,6.848484992980957,9.808186531066895
2008,2026-03-29 09:46:42,64.74,7.947286206899662e-08,13.763522148132324,6.832772254943848,9.797724723815918
2009,2026-03-29 09:46:49,66.35,-6.357829107628277e-08,12.896799087524414,6.398972034454346,9.885501861572266
2010,2026-03-29 09:46:56,67.81,-6.357829107628277e-08,13.17496395111084,6.537891864776611,9.917993545532227
2011,2026-03-29 09:47:07,73.39,1.4305115314527939e-07,13.961909294128418,6.931517124176025,9.887480735778809
2012,2026-03-29 09:47:14,63.82,2.2252402231970336e-07,12.318290710449219,6.1099748611450195,9.834087371826172
2013,2026-03-29 09:47:21,68.22,-7.947286206899662e-08,13.950206756591797,6.926270961761475,9.766511917114258
2014,2026-03-29 09:47:28,68.17,-2.066294513269895e-07,12.724748611450195,6.313843727111816,9.706095695495605
2015,2026-03-29 09:47:36,69.06,1.748402951307071e-07,13.420083045959473,6.661794662475586,9.64940071105957
2016,2026-03-29 09:47:42,65.53,-1.5894572413799324e-07,12.3157958984375,6.109795570373535,9.620467185974121
2017,2026-03-29 09:47:49,64.19,4.7683720083568915e-08,13.627203941345215,6.765558242797852,9.608766555786133
2018,2026-03-29 09:47:56,62.67,2.8610230629055877e-07,13.562980651855469,6.733376502990723,9.622815132141113
2019,2026-03-29 09:48:02,68.25,-0.0,13.749058723449707,6.826686382293701,9.568549156188965
2020,2026-03-29 09:48:09,63.85,-1.2715658215256553e-07,13.47403621673584,6.688799858093262,9.643641471862793
2021,2026-03-29 09:48:20,63.65,-0.0,16.220062255859375,8.062243461608887,9.557588577270508
2022,2026-03-29 09:48:28,57.95,-9.536744016713783e-08,14.788273811340332,7.345844745635986,9.658395767211914
2023,2026-03-29 09:48:36,63.54,6.834666237409692e-07,14.272581100463867,7.0876922607421875,9.719762802124023
2024,2026-03-29 09:48:44,59.19,-1.5894572769070692e-08,13.412708282470703,6.658087730407715,9.653280258178711
