Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
409,掠奪者任務,0.129,-2730,13440,0,4
410,掠奪者任務,0.129,-2790,13440,0,2
411,掠奪者任務,0.128,-3000,13440,0,0
412,掠奪者任務,0.127,-2610,13440,0,8
413,掠奪者任務,0.127,-2850,13440,0,0
414,掠奪者任務,0.126,-2760,13440,0,3
415,掠奪者任務,0.126,-2580,13440,0,9
416,掠奪者任務,0.125,-3000,13440,0,0
417,掠奪者任務,0.124,-2640,13440,0,7
418,掠奪者任務,0.124,4380,12064,5,1
419,掠奪者任務,0.123,-2760,13440,0,3
420,掠奪者任務,0.122,-2790,13440,0,2
421,掠奪者任務,0.122,-2550,13440,0,10
422,掠奪者任務,0.121,-2790,13440,0,2
423,掠奪者任務,0.121,-2610,13440,0,8
424,掠奪者任務,0.120,-2790,13440,0,2
425,掠奪者任務,0.119,-2790,13440,0,2
426,掠奪者任務,0.119,-2790,13440,0,2
427,掠奪者任務,0.118,-2730,13440,0,4
428,掠奪者任務,0.118,-2640,13440,0,7
429,掠奪者任務,0.117,-2760,13440,0,3
430,掠奪者任務,0.116,-2790,13440,0,2
431,掠奪者任務,0.116,-2640,13440,0,7
432,掠奪者任務,0.115,-2730,13440,0,4
433,掠奪者任務,0.115,-2580,13440,0,9
434,掠奪者任務,0.114,-2850,13440,0,0
435,掠奪者任務,0.114,-1090,13440,3,2
436,掠奪者任務,0.113,-2700,13440,0,4
437,掠奪者任務,0.112,-2640,13440,0,7
438,掠奪者任務,0.112,-2560,13440,0,3
439,掠奪者任務,0.111,-2790,13440,0,2
440,掠奪者任務,0.111,-2790,13440,0,2
441,掠奪者任務,0.110,-2580,13440,0,9
442,掠奪者任務,0.110,-2790,13440,0,2
443,掠奪者任務,0.109,-2730,13440,0,4
444,掠奪者任務,0.109,-2730,13440,0,4
445,掠奪者任務,0.108,-2790,13440,0,2
446,掠奪者任務,0.107,-2730,13440,0,4
447,掠奪者任務,0.107,-2730,13440,0,4
448,掠奪者任務,0.106,-2760,13440,0,3
449,掠奪者任務,0.106,-2790,13440,0,2
450,掠奪者任務,0.105,-2820,13440,0,1
451,掠奪者任務,0.105,-2530,13440,0,4
452,掠奪者任務,0.104,-2670,13440,0,6
453,掠奪者任務,0.104,-2700,13440,0,5
454,掠奪者任務,0.103,-2670,13440,0,6
455,掠奪者任務,0.103,-2700,13440,0,5
456,掠奪者任務,0.102,-2730,13440,0,4
457,掠奪者任務,0.102,-2790,13440,0,2
458,掠奪者任務,0.101,-2700,13440,0,5
459,掠奪者任務,0.101,-2590,13440,0,2
460,掠奪者任務,0.100,-2700,13440,0,5
461,掠奪者任務,0.100,-2790,13440,0,2
462,掠奪者任務,0.099,-2760,13440,0,3
463,掠奪者任務,0.099,-2790,13440,0,1
464,掠奪者任務,0.098,-2760,13440,0,3
465,掠奪者任務,0.098,-2760,13440,0,3
466,掠奪者任務,0.097,-2790,13440,0,2
467,掠奪者任務,0.097,-2790,13440,0,2
468,掠奪者任務,0.096,-2760,13440,0,3
469,掠奪者任務,0.096,-3000,13440,0,0
470,掠奪者任務,0.095,-2700,13440,0,5
471,掠奪者任務,0.095,-2790,13440,0,2
472,掠奪者任務,0.094,-2730,13440,0,4
473,掠奪者任務,0.094,-2850,13440,0,0
474,掠奪者任務,0.093,-2790,13440,0,2
475,掠奪者任務,0.093,-2820,13440,0,1
476,掠奪者任務,0.092,-2670,13440,0,6
477,掠奪者任務,0.092,-2790,13440,0,2
478,掠奪者任務,0.092,-2820,13440,0,1
479,掠奪者任務,0.091,-2790,13440,0,2
480,掠奪者任務,0.091,-2730,13440,0,4
481,掠奪者任務,0.090,-2790,13440,0,2
482,掠奪者任務,0.090,-2790,13440,0,2
483,掠奪者任務,0.089,-2560,13440,0,3
484,掠奪者任務,0.089,-2850,13440,0,0
485,掠奪者任務,0.088,-2850,13440,0,0
486,掠奪者任務,0.088,-2760,13440,0,3
487,掠奪者任務,0.088,-2760,13440,0,3
488,掠奪者任務,0.087,-2820,13440,0,1
489,掠奪者任務,0.087,-2820,13440,0,0
490,掠奪者任務,0.086,-2790,13440,0,2
491,掠奪者任務,0.086,-2790,13440,0,2
492,掠奪者任務,0.085,-2850,13440,0,0
493,掠奪者任務,0.085,-2760,13440,0,3
494,掠奪者任務,0.084,-2760,13440,0,3
495,掠奪者任務,0.084,-2820,13440,0,1
496,掠奪者任務,0.084,-2790,13440,0,2
497,掠奪者任務,0.083,-2700,13440,0,5
498,掠奪者任務,0.083,-2730,13440,0,4
499,掠奪者任務,0.082,-2730,13440,0,4
500,掠奪者任務,0.082,-2760,13440,0,3
501,掠奪者任務,0.082,-2790,13440,0,2
502,掠奪者任務,0.081,-3000,13440,0,0
503,掠奪者任務,0.081,-3000,13440,0,0
504,掠奪者任務,0.080,-2820,13440,0,1
505,掠奪者任務,0.080,-2790,13440,0,2
506,掠奪者任務,0.080,-2730,13440,0,4
507,掠奪者任務,0.079,-2790,13440,0,2
508,掠奪者任務,0.079,-2730,13440,0,4
509,掠奪者任務,0.078,-2820,13440,0,1
510,掠奪者任務,0.078,-2730,13440,0,4
511,掠奪者任務,0.078,-2700,13440,0,4
512,掠奪者任務,0.077,-2820,13440,0,0
513,掠奪者任務,0.077,-2820,13440,0,1
514,掠奪者任務,0.076,-2790,13440,0,2
515,掠奪者任務,0.076,-2730,13440,0,4
516,掠奪者任務,0.076,-2670,13440,0,6
517,掠奪者任務,0.075,-2590,13440,0,2
518,掠奪者任務,0.075,-2820,13440,0,1
519,掠奪者任務,0.075,-2730,13440,0,4
520,掠奪者任務,0.074,-2820,13440,0,1
521,掠奪者任務,0.074,-2850,13440,0,0
522,掠奪者任務,0.073,-2790,13440,0,2
523,掠奪者任務,0.073,-2790,13440,0,1
524,掠奪者任務,0.073,-2850,13440,0,0
525,掠奪者任務,0.072,-2850,13440,0,0
526,掠奪者任務,0.072,-2700,13440,0,5
527,掠奪者任務,0.072,-2760,13440,0,3
528,掠奪者任務,0.071,-2850,13440,0,0
529,掠奪者任務,0.071,-3000,13440,0,0
530,掠奪者任務,0.071,-2850,13440,0,0
531,掠奪者任務,0.070,-2820,13440,0,1
532,掠奪者任務,0.070,-2760,13440,0,3
533,掠奪者任務,0.069,-2730,13440,0,4
534,掠奪者任務,0.069,-2730,13440,0,4
535,掠奪者任務,0.069,-2790,13440,0,2
536,掠奪者任務,0.068,-2790,13440,0,2
537,掠奪者任務,0.068,-2820,13440,0,1
538,掠奪者任務,0.068,-2790,13440,0,2
539,掠奪者任務,0.067,-2850,13440,0,0
540,掠奪者任務,0.067,-2850,13440,0,0
541,掠奪者任務,0.067,-2790,13440,0,2
542,掠奪者任務,0.066,-2850,13440,0,0
543,掠奪者任務,0.066,-2790,13440,0,2
544,掠奪者任務,0.066,-3000,13440,0,0
545,掠奪者任務,0.065,-2850,13440,0,0
546,掠奪者任務,0.065,-2790,13440,0,2
547,掠奪者任務,0.065,-2850,13440,0,0
548,掠奪者任務,0.064,-2790,13440,0,2
549,掠奪者任務,0.064,-2820,13440,0,1
550,掠奪者任務,0.064,-2790,13440,0,2
551,掠奪者任務,0.063,-2850,13440,0,0
552,掠奪者任務,0.063,-2850,13440,0,0
553,掠奪者任務,0.063,-2730,13440,0,4
554,掠奪者任務,0.063,-2850,13440,0,0
555,掠奪者任務,0.062,-2850,13440,0,0
556,掠奪者任務,0.062,-2760,13440,0,3
557,掠奪者任務,0.062,-2790,13440,0,2
