Episode,Reward,Loss,Entropy,LR
355,10.26,-0.6466,8.3174,0.0003
356,12.88,0.1246,8.3174,0.0003
357,34.62,0.1548,8.3174,0.0003
358,8.39,-0.2886,8.3174,0.0003
359,17.35,0.4768,8.3174,0.0003
360,35.55,0.1864,8.3174,0.0003
361,14.25,0.1059,8.3175,0.0003
362,7.21,-0.6008,8.3175,0.0003
363,15.53,0.1462,8.3175,0.0003
364,15.67,0.0029,8.3175,0.0003
365,12.44,-0.0531,8.3175,0.0003
366,16.97,-0.2803,8.3175,0.0003
367,24.79,0.0778,8.3175,0.0003
368,8.45,0.1492,8.3175,0.0003
369,15.76,0.12,8.3175,0.0003
370,24.52,0.1102,8.3175,0.0003
371,6.81,-0.3861,8.3175,0.0003
372,30.39,-0.5586,8.3175,0.0003
373,6.74,0.267,8.3175,0.0003
374,13.16,0.5537,8.3175,0.0003
375,18.88,-0.2007,8.3175,0.0003
376,25.16,0.4597,8.3175,0.0003
377,28.84,0.4521,8.3175,0.0003
378,12.34,-0.1877,8.3175,0.0003
379,23.09,0.3258,8.3175,0.0003
380,13.82,-0.0317,8.3175,0.0003
381,5.25,0.0721,8.3175,0.0003
382,11.85,0.0076,8.3175,0.0003
383,34.83,-0.3915,8.3175,0.0003
384,20.58,0.6608,8.3175,0.0003
385,10.42,-0.3675,8.3175,0.0003
386,12.68,-0.1438,8.3175,0.0003
387,8.71,0.2167,8.3175,0.0003
388,30.29,1.6323,8.3175,0.0003
389,17.31,0.1524,8.3175,0.0003
390,10.2,0.2257,8.3175,0.0003
391,14.69,0.0328,8.3176,0.0003
392,5.16,-0.2384,8.3176,0.0003
393,11.92,0.2304,8.3176,0.0003
394,25.32,-0.3006,8.3176,0.0003
395,9.35,-0.4228,8.3176,0.0003
396,9.79,0.2647,8.3176,0.0003
397,19.82,0.4463,8.3176,0.0003
398,28.85,0.1405,8.3176,0.0003
399,12.64,0.0947,8.3176,0.0003
400,5.21,0.6234,8.3176,0.0003
401,9.77,-0.2211,8.3176,0.0003
402,18.24,0.0767,8.3176,0.0003
403,9.82,0.0122,8.3176,0.0003
404,6.77,-0.5567,8.3176,0.0003
405,9.47,0.4068,8.3176,0.0003
406,4.79,-0.385,8.3176,0.0003
407,6.84,-0.4101,8.3176,0.0003
408,20.18,0.1335,8.3176,0.0003
409,19.17,0.2388,8.3176,0.0003
410,8.25,0.4427,8.3176,0.0003
411,28.35,-0.0849,8.3176,0.0003
412,22.06,0.1575,8.3176,0.0003
413,28.57,0.7784,8.3176,0.0003
414,11.27,-0.1515,8.3176,0.0003
415,16.41,0.1805,8.3176,0.0003
416,10.23,0.3698,8.3176,0.0003
417,5.29,-0.1127,8.3176,0.0003
418,11.0,0.0119,8.3176,0.0003
