Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
482,掠奪者任務,0.090,-2650,13440,0,0
483,掠奪者任務,0.089,-2560,13440,0,2
484,掠奪者任務,0.089,-3000,11456,0,0
485,掠奪者任務,0.088,-2070,13440,1,6
486,掠奪者任務,0.088,-3590,13440,0,0
487,掠奪者任務,0.088,-4150,13440,0,0
488,掠奪者任務,0.087,-2850,11728,0,0
489,掠奪者任務,0.087,-2650,13376,0,0
490,掠奪者任務,0.086,-2850,12928,0,0
491,掠奪者任務,0.086,-4190,13440,0,1
492,掠奪者任務,0.085,-3000,13440,0,0
493,掠奪者任務,0.085,-1660,13440,2,3
494,掠奪者任務,0.084,-6790,13440,1,1
495,掠奪者任務,0.084,-2850,13440,0,0
496,掠奪者任務,0.084,-2850,13136,0,0
497,掠奪者任務,0.083,4850,8336,5,0
498,掠奪者任務,0.083,-2250,13440,1,0
499,掠奪者任務,0.082,-2220,13440,0,1
500,掠奪者任務,0.082,-2320,13440,0,0
501,掠奪者任務,0.082,-3000,12016,0,0
502,掠奪者任務,0.081,-3690,13440,0,2
503,掠奪者任務,0.081,-1590,13440,2,2
504,掠奪者任務,0.080,-2220,13440,0,0
505,掠奪者任務,0.080,-2590,13440,0,0
506,掠奪者任務,0.080,-2620,13440,0,0
507,掠奪者任務,0.079,-3000,11648,0,0
508,掠奪者任務,0.079,-1760,13440,2,3
509,掠奪者任務,0.078,-2820,13440,0,0
510,掠奪者任務,0.078,-2890,13440,0,2
511,掠奪者任務,0.078,-2420,13440,1,1
512,掠奪者任務,0.077,-3000,12384,0,0
513,掠奪者任務,0.077,-3000,11312,0,0
514,掠奪者任務,0.076,-2620,13440,0,0
515,掠奪者任務,0.076,-2150,13440,0,0
516,掠奪者任務,0.076,-1620,13440,2,0
517,掠奪者任務,0.075,-3520,13440,0,0
518,掠奪者任務,0.075,4350,8848,5,0
519,掠奪者任務,0.075,-2650,13440,0,0
520,掠奪者任務,0.074,-6460,13440,0,3
521,掠奪者任務,0.074,-3000,11568,0,0
522,掠奪者任務,0.073,-2220,13440,1,0
523,掠奪者任務,0.073,-2620,13440,0,0
524,掠奪者任務,0.073,-2650,13440,0,0
525,掠奪者任務,0.072,-2620,13440,0,0
526,掠奪者任務,0.072,-2620,13440,0,1
527,掠奪者任務,0.072,-2120,13440,0,0
528,掠奪者任務,0.071,-2850,13440,0,0
529,掠奪者任務,0.071,-2060,13440,0,1
530,掠奪者任務,0.071,-2620,13440,0,0
531,掠奪者任務,0.070,-3390,13440,0,2
532,掠奪者任務,0.070,-2590,13440,0,0
533,掠奪者任務,0.069,-2150,13440,0,0
534,掠奪者任務,0.069,-2720,13440,0,0
535,掠奪者任務,0.069,-2620,13440,0,1
536,掠奪者任務,0.068,-6850,13440,0,0
537,掠奪者任務,0.068,-3000,11744,0,0
538,掠奪者任務,0.068,-2850,13440,0,0
539,掠奪者任務,0.067,-3000,11840,0,0
540,掠奪者任務,0.067,-2090,13440,0,0
541,掠奪者任務,0.067,-1150,13440,2,0
542,掠奪者任務,0.066,-2650,13440,0,0
543,掠奪者任務,0.066,-1590,13440,2,1
544,掠奪者任務,0.066,-3000,12368,0,0
545,掠奪者任務,0.065,-1650,13440,0,0
546,掠奪者任務,0.065,-2850,13440,0,0
547,掠奪者任務,0.065,-2850,12176,0,0
548,掠奪者任務,0.064,-2650,13440,0,0
549,掠奪者任務,0.064,-5950,13440,0,0
550,掠奪者任務,0.064,-3000,12032,0,0
551,掠奪者任務,0.063,-2650,13440,0,0
552,掠奪者任務,0.063,-3120,13440,1,0
553,掠奪者任務,0.063,-2620,13440,0,0
554,掠奪者任務,0.063,-2720,13440,0,1
555,掠奪者任務,0.062,-2350,13440,0,0
556,掠奪者任務,0.062,-2620,13440,0,1
557,掠奪者任務,0.062,-2920,13440,0,0
558,掠奪者任務,0.061,-7850,13440,0,0
559,掠奪者任務,0.061,-2750,13440,0,0
560,掠奪者任務,0.061,-2620,13440,0,0
561,掠奪者任務,0.060,-3590,13440,0,0
562,掠奪者任務,0.060,-2650,13440,0,0
563,掠奪者任務,0.060,-10520,13440,0,0
