Time,Minerals,Vespene,Workers,Ideal,Action
5152.0,2515,0,17,16,REASSIGN_IDLE
5168.0,2525,0,17,16,REASSIGN_IDLE
5184.0,2530,0,17,16,REASSIGN_IDLE
5200.0,2545,0,17,16,REASSIGN_IDLE
5216.0,2560,0,17,16,REASSIGN_IDLE
5232.0,2565,0,17,16,REASSIGN_IDLE
5248.0,2580,0,17,16,REASSIGN_IDLE
5264.0,2590,0,17,16,REASSIGN_IDLE
5280.0,2595,0,17,16,REASSIGN_IDLE
5296.0,2600,0,17,16,REASSIGN_IDLE
5312.0,2615,0,17,16,REASSIGN_IDLE
5328.0,2630,0,17,16,REASSIGN_IDLE
5344.0,2635,0,17,16,REASSIGN_IDLE
5360.0,2645,0,17,16,REASSIGN_IDLE
5376.0,2670,0,17,16,REASSIGN_IDLE
5392.0,2670,0,17,16,REASSIGN_IDLE
5408.0,2675,0,17,16,REASSIGN_IDLE
5424.0,2680,0,17,16,REASSIGN_IDLE
5440.0,2700,0,17,16,REASSIGN_IDLE
5456.0,2710,0,17,16,REASSIGN_IDLE
5472.0,2725,0,17,16,REASSIGN_IDLE
5488.0,2735,0,17,16,REASSIGN_IDLE
5504.0,2745,0,17,16,REASSIGN_IDLE
5520.0,2750,0,17,16,REASSIGN_IDLE
5536.0,2760,0,17,16,REASSIGN_IDLE
5552.0,2775,0,17,16,REASSIGN_IDLE
5568.0,2785,0,17,16,REASSIGN_IDLE
5584.0,2790,0,17,16,REASSIGN_IDLE
5600.0,2805,0,17,16,REASSIGN_IDLE
5616.0,2815,0,17,16,REASSIGN_IDLE
5632.0,2825,0,17,16,REASSIGN_IDLE
5648.0,2835,0,17,16,REASSIGN_IDLE
5664.0,2840,0,17,16,REASSIGN_IDLE
5680.0,2855,0,17,16,REASSIGN_IDLE
5696.0,2865,0,17,16,REASSIGN_IDLE
5712.0,2880,0,17,16,REASSIGN_IDLE
5728.0,2880,0,17,16,REASSIGN_IDLE
5744.0,2895,0,17,16,REASSIGN_IDLE
5760.0,2910,0,17,16,REASSIGN_IDLE
5776.0,2910,0,17,16,REASSIGN_IDLE
5792.0,2930,0,17,16,REASSIGN_IDLE
5808.0,2935,0,17,16,REASSIGN_IDLE
5824.0,2945,0,17,16,REASSIGN_IDLE
5840.0,2960,0,17,16,REASSIGN_IDLE
5856.0,2965,0,17,16,REASSIGN_IDLE
5872.0,2980,0,17,16,REASSIGN_IDLE
5888.0,2990,0,17,16,REASSIGN_IDLE
5904.0,2995,0,17,16,REASSIGN_IDLE
5920.0,3015,0,17,16,REASSIGN_IDLE
5936.0,3015,0,17,16,REASSIGN_IDLE
5952.0,3025,0,17,16,REASSIGN_IDLE
5968.0,3035,0,17,16,REASSIGN_IDLE
5984.0,3050,0,17,16,REASSIGN_IDLE
6000.0,3065,0,17,16,REASSIGN_IDLE
6016.0,3070,0,17,16,REASSIGN_IDLE
6032.0,3085,0,17,16,REASSIGN_IDLE
6048.0,3090,0,17,16,REASSIGN_IDLE
6064.0,3095,0,17,16,REASSIGN_IDLE
6080.0,3110,0,17,16,REASSIGN_IDLE
6096.0,3125,0,17,16,REASSIGN_IDLE
6112.0,3135,0,17,16,REASSIGN_IDLE
