Time,Minerals,Vespene,Supply,Marauders,Action_ID
6026.0,45,628,14,0,3
6028.0,45,632,14,0,4
6030.0,45,632,14,0,1
6032.0,45,632,14,0,6
6034.0,45,632,14,0,2
6036.0,45,632,14,0,0
6038.0,45,632,14,0,4
6040.0,45,632,14,0,6
6042.0,45,632,14,0,6
6044.0,45,632,14,0,7
6046.0,45,632,14,0,6
6048.0,45,632,14,0,6
6050.0,45,632,14,0,4
6052.0,45,632,14,0,5
6054.0,45,632,14,0,7
6056.0,45,632,14,0,4
6058.0,45,632,14,0,0
6060.0,45,632,14,0,7
6062.0,45,636,14,0,7
6064.0,45,636,14,0,5
6066.0,45,636,14,0,1
6068.0,45,636,14,0,5
6070.0,45,636,14,0,7
6072.0,45,636,14,0,1
6074.0,45,636,14,0,1
6076.0,45,636,14,0,4
6078.0,45,636,14,0,5
6080.0,45,636,14,0,5
6082.0,45,636,14,0,7
6084.0,45,636,14,0,5
6086.0,45,636,14,0,2
6088.0,45,636,14,0,6
6090.0,45,636,14,0,3
6092.0,45,636,14,0,2
6094.0,45,640,14,0,5
6096.0,45,640,14,0,2
6098.0,45,640,14,0,6
6100.0,45,640,14,0,0
6102.0,45,640,14,0,2
6104.0,45,640,14,0,7
6106.0,45,640,14,0,3
6108.0,45,640,14,0,4
6110.0,45,640,14,0,6
6112.0,45,640,14,0,2
6114.0,45,640,14,0,0
6116.0,45,640,14,0,4
6118.0,45,640,14,0,3
6120.0,45,640,14,0,3
6122.0,45,640,14,0,1
6124.0,45,640,14,0,0
6126.0,45,644,14,0,3
6128.0,45,644,14,0,7
6130.0,45,644,14,0,0
6132.0,45,644,14,0,0
6134.0,45,644,14,0,5
6136.0,45,644,14,0,2
6138.0,45,644,14,0,5
6140.0,45,644,14,0,3
6142.0,45,644,14,0,1
6144.0,45,644,14,0,0
6146.0,45,644,14,0,7
6148.0,45,644,14,0,2
6150.0,45,644,14,0,7
6152.0,45,644,14,0,2
6154.0,45,644,14,0,1
6156.0,45,644,14,0,4
6158.0,45,644,14,0,5
6160.0,45,648,14,0,2
6162.0,45,648,14,0,5
6164.0,45,648,14,0,3
6166.0,45,648,14,0,0
6168.0,45,648,14,0,5
6170.0,45,648,14,0,2
6172.0,45,648,14,0,0
6174.0,45,648,14,0,1
6176.0,45,648,14,0,3
6178.0,45,648,14,0,7
6180.0,45,648,14,0,7
6182.0,45,648,14,0,7
6184.0,45,648,14,0,5
6186.0,45,648,14,0,7
6188.0,45,648,14,0,3
6190.0,45,648,14,0,7
6192.0,45,648,14,0,3
6194.0,45,652,14,0,0
6196.0,45,652,14,0,3
6198.0,45,652,14,0,7
6200.0,45,652,14,0,7
6202.0,45,652,14,0,2
6204.0,45,652,14,0,0
6206.0,45,652,14,0,2
6208.0,45,652,14,0,5
6210.0,45,652,14,0,7
6212.0,45,652,14,0,7
6214.0,45,652,14,0,3
6216.0,45,652,14,0,3
6218.0,45,652,14,0,6
6220.0,45,652,14,0,1
6222.0,45,652,14,0,1
6224.0,45,652,14,0,7
6226.0,45,656,14,0,1
6228.0,45,656,14,0,5
6230.0,45,656,14,0,3
6232.0,45,656,14,0,4
6234.0,45,656,14,0,3
6236.0,45,656,14,0,2
6238.0,45,656,14,0,1
6240.0,45,656,14,0,3
6242.0,45,656,14,0,7
6244.0,45,656,14,0,2
6246.0,45,656,14,0,1
6248.0,45,656,14,0,6
6250.0,45,656,14,0,7
6252.0,45,656,14,0,2
6254.0,45,656,14,0,1
6256.0,45,656,14,0,6
6258.0,45,660,14,0,6
6260.0,45,660,14,0,4
6262.0,45,660,14,0,0
6264.0,45,660,14,0,3
6266.0,45,660,14,0,0
6268.0,45,660,14,0,5
6270.0,45,660,14,0,3
6272.0,45,660,14,0,2
6274.0,45,660,14,0,0
6276.0,45,660,14,0,5
6278.0,45,660,14,0,2
6280.0,45,660,14,0,6
6282.0,45,660,14,0,3
6284.0,45,660,14,0,6
6286.0,45,660,14,0,7
6288.0,45,660,14,0,3
6290.0,45,660,14,0,2
6292.0,45,664,14,0,5
6294.0,45,664,14,0,3
