Time,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
7968.0,4045,0,12,16,0,42
7984.0,4050,0,12,16,0,42
8000.0,4065,0,12,16,0,41
8016.0,4075,0,12,16,0,42
8032.0,4080,0,12,16,0,42
8048.0,4095,0,12,16,0,41
8064.0,4100,0,12,16,0,41
8080.0,4105,0,12,16,0,42
8096.0,4105,0,12,16,0,41
8112.0,4125,0,12,16,0,41
8128.0,4130,0,12,16,0,41
8144.0,4135,0,12,16,0,42
8160.0,4145,0,12,16,0,42
8176.0,4155,0,12,16,0,42
8192.0,4160,0,12,16,0,41
8208.0,4170,0,12,16,0,41
8224.0,4180,0,12,16,0,41
8240.0,4190,0,12,16,0,41
8256.0,4190,0,12,16,0,41
8272.0,4200,0,12,16,0,41
8288.0,4210,0,12,16,0,41
8304.0,4215,0,12,16,0,41
8320.0,4230,0,12,16,0,41
8336.0,4240,0,12,16,0,41
8352.0,4240,0,12,16,0,42
8368.0,4255,0,12,16,0,42
8384.0,4255,0,12,16,0,41
8400.0,4260,0,12,16,0,42
8416.0,4275,0,12,16,0,42
8432.0,4290,0,12,16,0,41
8448.0,4295,0,12,16,0,41
8464.0,4300,0,12,16,0,42
8480.0,4310,0,12,16,0,41
8496.0,4315,0,12,16,0,42
8512.0,4315,0,12,16,0,42
8528.0,4330,0,12,16,0,41
8544.0,4350,0,12,16,0,41
8560.0,4350,0,12,16,0,41
8576.0,4360,0,12,16,0,41
8592.0,4365,0,12,16,0,41
8608.0,4370,0,12,16,0,41
8624.0,4380,0,12,16,0,41
8640.0,4390,0,12,16,0,41
8656.0,4405,0,12,16,0,42
8672.0,4410,0,12,16,0,42
8688.0,4410,0,12,16,0,42
8704.0,4425,0,12,16,0,41
8720.0,4430,0,12,16,0,41
8736.0,4435,0,12,16,0,42
8752.0,4445,0,12,16,0,42
8768.0,4460,0,12,16,0,41
8784.0,4465,0,12,16,0,42
8800.0,4470,0,12,16,0,42
8816.0,4475,0,12,16,0,42
8832.0,4495,0,12,16,0,41
8848.0,4495,0,12,16,0,41
8864.0,4500,0,12,16,0,42
8880.0,4515,0,12,16,0,42
8896.0,4520,0,12,16,0,41
8912.0,4525,0,12,16,0,42
8928.0,4535,0,12,16,0,42
8944.0,4540,0,12,16,0,42
8960.0,4555,0,12,16,0,41
8976.0,4565,0,12,16,0,42
8992.0,4565,0,12,16,0,42
9008.0,4575,0,12,16,0,42
9024.0,4585,0,12,16,0,41
9040.0,4595,0,12,16,0,41
9056.0,4600,0,12,16,0,41
9072.0,4605,0,12,16,0,42
9088.0,4625,0,12,16,0,42
9104.0,4625,0,12,16,0,41
9120.0,4630,0,12,16,0,41
9136.0,4650,0,12,16,0,41
9152.0,4650,0,12,16,0,41
9168.0,4655,0,12,16,0,41
9184.0,4660,0,12,16,0,42
9200.0,4675,0,12,16,0,41
9216.0,4685,0,12,16,0,42
9232.0,4685,0,12,16,0,42
9248.0,4700,0,12,16,0,42
9264.0,4710,0,12,16,0,41
9280.0,4710,0,12,16,0,41
9296.0,4725,0,12,16,0,41
9312.0,4735,0,12,16,0,41
9328.0,4735,0,12,16,0,41
9344.0,4750,0,12,16,0,42
9360.0,4760,0,12,16,0,41
9376.0,4760,0,12,16,0,41
9392.0,4770,0,12,16,0,42
9408.0,4780,0,12,16,0,42
9424.0,4790,0,12,16,0,42
9440.0,4795,0,12,16,0,42
9456.0,4805,0,12,16,0,41
9472.0,4820,0,12,16,0,41
9488.0,4820,0,12,16,0,41
9504.0,4820,0,12,16,0,42
9520.0,4835,0,12,16,0,41
9536.0,4845,0,12,16,0,41
9552.0,4860,0,12,16,0,42
9568.0,4865,0,12,16,0,41
9584.0,4870,0,12,16,0,42
9600.0,4880,0,12,16,0,42
9616.0,4880,0,12,16,0,42
9632.0,4890,0,12,16,0,41
9648.0,4900,0,12,16,0,41
9664.0,4915,0,12,16,0,41
9680.0,4925,0,12,16,0,41
9696.0,4925,0,12,16,0,42
9712.0,4935,0,12,16,0,42
9728.0,4940,0,12,16,0,41
9744.0,4950,0,12,16,0,41
9760.0,4960,0,12,16,0,42
9776.0,4965,0,12,16,0,42
9792.0,4980,0,12,16,0,42
9808.0,4985,0,12,16,0,42
9824.0,4985,0,12,16,0,42
9840.0,4995,0,12,16,0,42
9856.0,5010,0,12,16,0,42
9872.0,5015,0,12,16,0,41
9888.0,5020,0,12,16,0,42
9904.0,5035,0,12,16,0,41
9920.0,5045,0,12,16,0,41
9936.0,5045,0,12,16,0,42
9952.0,5055,0,12,16,0,41
9968.0,5070,0,12,16,0,41
9984.0,5075,0,12,16,0,41
10000.0,5075,0,12,16,0,42
10016.0,5085,0,12,16,0,41
10032.0,5095,0,12,16,0,42
10048.0,5105,0,12,16,0,42
10064.0,5115,0,12,16,0,42
10080.0,5125,0,12,16,0,41
10096.0,5130,0,12,16,0,42
10112.0,5140,0,12,16,0,42
10128.0,5140,0,12,16,0,42
10144.0,5150,0,12,16,0,41
10160.0,5155,0,12,16,0,41
10176.0,5180,0,12,16,0,41
10192.0,5185,0,12,16,0,41
10208.0,5190,0,12,16,0,41
10224.0,5195,0,12,16,0,42
10240.0,5200,0,12,16,0,42
10256.0,5205,0,12,16,0,41
10272.0,5215,0,12,16,0,41
10288.0,5230,0,12,16,0,41
10304.0,5240,0,12,16,0,41
10320.0,5245,0,12,16,0,41
10336.0,5255,0,12,16,0,41
10352.0,5255,0,12,16,0,41
10368.0,5260,0,12,16,0,41
10384.0,5275,0,12,16,0,41
10400.0,5285,0,12,16,0,41
10416.0,5295,0,12,16,0,42
10432.0,5305,0,12,16,0,42
10448.0,5310,0,12,16,0,42
10464.0,5315,0,12,16,0,41
10480.0,5320,0,12,16,0,42
10496.0,5330,0,12,16,0,41
10512.0,5345,0,12,16,0,41
10528.0,5345,0,12,16,0,41
10544.0,5365,0,12,16,0,42
10560.0,5370,0,12,16,0,41
10576.0,5370,0,12,16,0,41
10592.0,5380,0,12,16,0,41
10608.0,5385,0,12,16,0,41
10624.0,5400,0,12,16,0,42
10640.0,5405,0,12,16,0,41
10656.0,5405,0,12,16,0,41
10672.0,5430,0,12,16,0,42
10688.0,5435,0,12,16,0,41
10704.0,5435,0,12,16,0,42
10720.0,5450,0,12,16,0,42
10736.0,5455,0,12,16,0,42
10752.0,5465,0,12,16,0,41
10768.0,5470,0,12,16,0,41
10784.0,5480,0,12,16,0,41
10800.0,5495,0,12,16,0,42
10816.0,5495,0,12,16,0,42
10832.0,5505,0,12,16,0,41
10848.0,5510,0,12,16,0,41
10864.0,5510,0,12,16,0,41
10880.0,5525,0,12,16,0,42
10896.0,5535,0,12,16,0,41
10912.0,5535,0,12,16,0,42
10928.0,5545,0,12,16,0,41
10944.0,5560,0,12,16,0,41
10960.0,5560,0,12,16,0,42
10976.0,5565,0,12,16,0,42
10992.0,5575,0,12,16,0,41
11008.0,5585,0,12,16,0,41
11024.0,5590,0,12,16,0,41
11040.0,5595,0,12,16,0,42
11056.0,5610,0,12,16,0,41
11072.0,5615,0,12,16,0,42
11088.0,5615,0,12,16,0,42
11104.0,5630,0,12,16,0,42
11120.0,5635,0,12,16,0,42
11136.0,5640,0,12,16,0,41
11152.0,5650,0,12,16,0,42
11168.0,5660,0,12,16,0,41
11184.0,5670,0,12,16,0,42
11200.0,5675,0,12,16,0,42
11216.0,5685,0,12,16,0,41
11232.0,5690,0,12,16,0,42
11248.0,5690,0,12,16,0,41
11264.0,5705,0,12,16,0,42
11280.0,5715,0,12,16,0,42
11296.0,5725,0,12,16,0,41
11312.0,5735,0,12,16,0,42
11328.0,5740,0,12,16,0,42
11344.0,5745,0,12,16,0,41
11360.0,5750,0,12,16,0,41
11376.0,5760,0,12,16,0,42
11392.0,5770,0,12,16,0,41
11408.0,5780,0,12,16,0,41
11424.0,5785,0,12,16,0,41
11440.0,5800,0,12,16,0,41
11456.0,5800,0,12,16,0,42
11472.0,5805,0,12,16,0,42
11488.0,5820,0,12,16,0,41
11504.0,5820,0,12,16,0,41
11520.0,5835,0,12,16,0,42
11536.0,5845,0,12,16,0,41
11552.0,5850,0,12,16,0,41
11568.0,5855,0,12,16,0,42
11584.0,5860,0,12,16,0,42
11600.0,5875,0,12,16,0,42
11616.0,5880,0,12,16,0,41
11632.0,5885,0,12,16,0,41
11648.0,5895,0,12,16,0,41
11664.0,5895,0,12,16,0,42
11680.0,5910,0,12,16,0,41
11696.0,5910,0,12,16,0,42
11712.0,5930,0,12,16,0,42
11728.0,5935,0,12,16,0,42
11744.0,5935,0,12,16,0,42
11760.0,5945,0,12,16,0,42
11776.0,5950,0,12,16,0,42
11792.0,5960,0,12,16,0,42
11808.0,5965,0,12,16,0,41
11824.0,5975,0,12,16,0,41
11840.0,5980,0,12,16,0,41
11856.0,5990,0,12,16,0,42
11872.0,6000,0,12,16,0,41
11888.0,6005,0,12,16,0,41
11904.0,6020,0,12,16,0,42
11920.0,6030,0,12,16,0,41
11936.0,6035,0,12,16,0,41
11952.0,6040,0,12,16,0,42
11968.0,6050,0,12,16,0,42
11984.0,6055,0,12,16,0,41
12000.0,6065,0,12,16,0,41
12016.0,6070,0,12,16,0,41
12032.0,6085,0,12,16,0,41
12048.0,6095,0,12,16,0,41
12064.0,6095,0,12,16,0,41
12080.0,6110,0,12,16,0,42
12096.0,6115,0,12,16,0,42
12112.0,6120,0,12,16,0,42
12128.0,6125,0,12,16,0,42
12144.0,6140,0,12,16,0,42
12160.0,6150,0,12,16,0,41
12176.0,6155,0,12,16,0,41
12192.0,6165,0,12,16,0,41
12208.0,6165,0,12,16,0,42
12224.0,6180,0,12,16,0,41
12240.0,6180,0,12,16,0,41
12256.0,6190,0,12,16,0,41
12272.0,6205,0,12,16,0,41
12288.0,6210,0,12,16,0,41
12304.0,6220,0,12,16,0,42
12320.0,6225,0,12,16,0,42
12336.0,6230,0,12,16,0,42
12352.0,6235,0,12,16,0,42
12368.0,6250,0,12,16,0,42
12384.0,6255,0,12,16,0,41
12400.0,6265,0,12,16,0,42
12416.0,6280,0,12,16,0,42
12432.0,6285,0,12,16,0,41
12448.0,6290,0,12,16,0,42
12464.0,6300,0,12,16,0,42
12480.0,6310,0,12,16,0,42
12496.0,6315,0,12,16,0,41
12512.0,6325,0,12,16,0,41
12528.0,6330,0,12,16,0,41
12544.0,6345,0,12,16,0,42
12560.0,6345,0,12,16,0,42
12576.0,6355,0,12,16,0,41
12592.0,6370,0,12,16,0,42
12608.0,6370,0,12,16,0,42
12624.0,6380,0,12,16,0,41
