Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID,P_ID
3744.0,430,300,23,0,3,45,15
3760.0,440,300,23,0,3,34,15
3776.0,450,304,23,0,3,34,72
3792.0,470,304,23,0,3,45,15
3808.0,470,308,23,0,3,34,15
3824.0,480,308,23,0,3,34,15
3840.0,500,312,23,0,3,34,15
3856.0,510,312,23,0,3,45,9
3872.0,515,312,23,0,3,34,15
3888.0,525,316,23,0,3,34,15
3904.0,545,316,23,0,3,34,15
3920.0,550,320,23,0,3,34,15
3936.0,570,320,23,0,3,34,80
3952.0,580,324,23,0,3,34,15
3968.0,590,324,23,0,3,34,15
3984.0,605,328,23,0,3,45,86
4000.0,605,328,23,0,3,34,15
4016.0,625,332,23,0,3,34,15
4032.0,640,332,23,0,3,34,15
4048.0,650,336,23,0,3,45,73
4064.0,660,336,23,0,3,34,43
4080.0,675,340,23,0,3,34,15
4096.0,685,340,23,0,3,34,15
4112.0,700,344,23,0,3,34,95
4128.0,700,344,23,0,3,34,22
4144.0,720,348,23,0,3,34,15
4160.0,740,348,23,0,3,34,6
4176.0,740,352,23,0,3,34,15
4192.0,750,352,23,0,3,34,15
4208.0,765,356,23,0,3,34,15
4224.0,780,356,23,0,3,34,22
4240.0,780,360,23,0,3,34,67
4256.0,805,360,23,0,3,34,68
4272.0,815,364,23,0,3,34,15
4288.0,820,364,23,0,3,34,15
4304.0,835,368,23,0,3,34,21
4320.0,850,368,23,0,3,34,20
4336.0,855,372,23,0,3,45,69
4352.0,870,372,23,0,3,34,15
4368.0,880,376,23,0,3,45,64
4384.0,895,376,23,0,3,34,15
4400.0,905,376,23,0,3,34,15
4416.0,915,380,23,0,3,45,40
4432.0,930,380,23,0,3,34,15
4448.0,940,384,23,0,3,34,15
4464.0,950,384,23,0,3,45,48
4480.0,970,388,23,0,3,34,15
4496.0,970,388,23,0,3,34,15
4512.0,990,392,23,0,3,45,94
4528.0,1005,392,23,0,3,34,32
4544.0,1010,396,23,0,3,34,15
4560.0,1020,396,23,0,3,45,91
4576.0,1040,400,23,0,3,34,15
4592.0,1050,400,23,0,3,34,15
4608.0,1050,404,23,0,3,34,15
4624.0,1075,404,23,0,3,34,15
4640.0,1035,383,23,0,3,41,15
4656.0,1040,383,23,0,3,18,15
4672.0,1055,387,23,0,3,41,15
4688.0,1070,387,23,0,3,18,15
4704.0,1075,391,23,0,3,45,39
4720.0,1090,391,23,0,3,18,15
4736.0,1100,395,23,0,3,45,12
4752.0,1120,395,23,0,3,18,15
4768.0,1125,399,23,0,3,18,15
4784.0,1135,399,23,0,3,41,15
4800.0,1160,403,23,0,3,18,88
4816.0,1165,403,23,0,3,45,30
4832.0,1170,407,23,0,3,18,17
4848.0,1195,407,23,0,3,18,2
4864.0,1200,411,23,0,3,41,15
4880.0,1210,411,23,0,3,41,15
4896.0,1225,415,23,0,3,41,15
4912.0,1240,415,23,0,3,18,15
4928.0,1245,415,23,0,3,18,15
4944.0,1260,419,23,0,3,45,15
4960.0,1275,419,23,0,3,34,15
4976.0,1280,423,23,0,3,34,1
4992.0,1300,423,23,0,3,18,15
5008.0,1310,427,23,0,3,34,15
5024.0,1310,427,23,0,3,18,15
5040.0,1335,431,23,0,3,18,15
5056.0,1345,431,23,0,3,45,68
5072.0,1350,435,23,0,3,18,36
5088.0,1365,435,23,0,3,45,58
5104.0,1375,439,23,0,3,18,15
5120.0,1390,439,23,0,3,45,93
5136.0,1400,443,23,0,3,18,81
5152.0,1405,443,23,0,3,18,89
5168.0,1330,422,23,0,3,18,94
5184.0,1335,422,23,0,3,34,15
